CustomerNumber,ContactName,City,Country,Phone,Latitude,Longitude
1,Albert Von Einstein,Berlin,Germany,030-0074321,52.3396296,13.0911663
2,Paco El Maco,M?xico D.F.,Mexico,(5) 555-4729,19.0482207,-99.3641703
3,Sancho Panza,M?xico D.F.,Mexico,(5) 555-3932,19.0482207,-99.3641703
4,Carl Montgomery,London,UK,(171) 555-7788,51.3849401,-0.3514683
5,Urra Gurra Aktersnurra,Lule?,Sweden,0921-12 34 65,65.5444445,22.057593
6,Herman Hinschler,Mannheim,Germany,0621-08460,49.4103619,8.4141602
7,Julie Binoch?,Strasbourg,France,88.60.15.31,48.492005,7.6881429
8,Julio Iglesias,Madrid,Spain,(91) 555 22 82,40.3120639,-3.8341618
9,Bernard De Gaule,Marseille,France,91.24.45.40,43.169621,5.2779261
10,James Hendersson,Tsawassen,Canada,(604) 555-4729,49.0020832,-123.1371894
11,David Foot,London,UK,(171) 555-1212,51.3849401,-0.3514683
12,Victoria Abril,Buenos Aires,Argentina,(1) 135-5555,-34.7051589,-58.5314522
13,Speedy Gonzales,M?xico D.F.,Mexico,(5) 555-3392,19.0482207,-99.3641703
14,Alfred Neumann,Bern,Switzerland,0452-076545,46.9191499,7.29423
15,Edson Arantes Do Nascimento,S?o Paulo,Brazil,(11) 555-7647,-24.0082209,-46.825514
16,Ian Wright,London,UK,(171) 555-2282,51.3849401,-0.3514683
17,Lars Von Holstein,Aachen,Germany,0241-039123,50.6621268,5.9748992
18,Pierre Chardin,Nantes,France,40.67.88.88,47.1806171,-1.6416767
19,Greg Thatcher,London,UK,(171) 555-0297,51.3849401,-0.3514683
20,Lars Saalbach,Graz,Austria,7675-3425,47.01204,15.3495298
21,Romario Do Sauza,S?o Paulo,Brazil,(11) 555-9857,-24.0082209,-46.825514
22,Filem?n,Madrid,Spain,(91) 555 94 44,40.3120639,-3.8341618
23,Jaques Wilneuve,Lille,France,20.16.10.16,50.600887,2.967966
24,Linda Haglund,Br?cke,Sweden,0695-34 67 21,62.736191,15.4004625
25,Dieter K?ln,M?nchen,Germany,089-0877310,48.0616018,11.360796
26,Jeanne D?Anjou,Nantes,France,40.32.21.21,47.1806171,-1.6416767
27,Don Corleone,Torino,Italy,011-4988260,45.0067766,7.5778502
28,Vitor Baiha,Lisboa,Portugal,(1) 354-2534,38.6913994,-9.2298356
29,Jusep Del Pep,Barcelona,Spain,(93) 203 4560,41.320004,2.0695258
30,El Cordobes,Sevilla,Spain,(95) 555 82 82,37.3152203,-6.0216578
31,Anna Figo,Campinas,Brazil,(11) 555-9482,-23.0534185,-47.209686
